amino_acid,real_count,random_count,real_frequency,random_frequency,fold_enrichment
G,2,191,0.08333333333333333,0.023545364891518736,3.5392668653898807
L,4,841,0.16666666666666666,0.10367357001972387,1.6076099726029345
A,4,872,0.16666666666666666,0.10749506903353057,1.550458701172797
K,7,1727,0.2916666666666667,0.21289447731755423,1.3700057839528161
S,2,633,0.08333333333333333,0.07803254437869822,1.0679304760457313
