Run,RMSE,R2,Pearson,Kendall
1,0.4970531,0.4662656784057617,0.6936207,0.4899135282263345
2,0.4749142,0.5008817911148071,0.7222601,0.49900867628509565
3,0.50227904,0.43092960119247437,0.6752992,0.4719562493974875
4,0.49231127,0.45444923639297485,0.6897142,0.49108846715943255
5,0.5239308,0.40957486629486084,0.66373026,0.4772580962050439
