Run,RMSE,R2,Pearson,Kendall
1,0.4927397,0.4754888415336609,0.69939303,0.490325203948654
2,0.4800636,0.4899994134902954,0.70956665,0.4888678973665813
3,0.4788822,0.48271095752716064,0.7061007,0.5002752572530582
4,0.4860743,0.46818453073501587,0.7016214,0.49698070478488626
5,0.50372744,0.454231858253479,0.68663895,0.4949684284759457
